"ID Luminaria","Sin Luz","Tipo Luminaria","Dirección","Barrio","Estado de la base","Medidor","Latitud","Longitud","Tipo de Cableado"
"LedSantaFe 1425","","LED 150W","Santa Fe 1425","San Clemente","Con base en buenas condiciones","","'-30.7634017","'-57.9899919","Aéreo"
"LedSantaFe 1480","","LED 150W","Santa Fe 1480","San Clemente","Con base en buenas condiciones","","'-30.7630053","'-57.9901904","Aéreo"
"Pablo Stampa 3325","","LED 150W","Pablo stampa 3325","San clemente","Con base en buenas condiciones","","'-30.7600588","'-57.9885149","Aéreo"
"Cordoba 1670","","LED 150W","Cordoba 1670","San Clemente","Con base en buenas condiciones","","'-30.7599727","'-57.9895370","Aéreo"
"Pablo stampa 3396","","LED 150W","Pablo Stampa 3396","San Clemente","Con base en buenas condiciones","","'-30.7603409","'-57.9888597","Aéreo"
"Cordoba 1615","","LED 150W","Cordoba 1615","San Clemente","Con base en buenas condiciones","","'-30.7603510","'-57.9893098","Aéreo"
"Cordoba 1570","","LED 150W","Cordoba 1570","San Clemente","Con base en buenas condiciones","","'-30.7605298","'-57.9888564","Aéreo"
"Pablo Stampa 3425","","","Pablo Stampa 3425","San Clemente","Con base en buenas condiciones","","'-30.7605984","'-57.9893360","Aéreo"
"Cordoba 1525","","LED 150W","Cordoba 1525","San Clemente","Sin base","","'-30.7609714","'-57.9886830","Aéreo"
"Led Pablo Stampa 3480","","LED 150W","Pablo Stampa 3480","San Clemente","Con base en buenas condiciones","","'-30.7609771","'-57.9894691","Aéreo"
"Cordoba 1490","","LED 150W","Cordoba 1490","San Clemente","Con base en buenas condiciones","","'-30.7611480","'-57.9881010","Aéreo"
"Led Pablo Stampa 3515","","LED 150W","Stampa 3515","San Clemente","Con base en buenas condiciones","","'-30.7613077","'-57.9899082","Aéreo"
"LedCórdobas 1419","","LED 150W","Cordoba 1419","San Clemente","Con base en buenas condiciones","","'-30.7616423","'-57.9878163","Aéreo"
"Led Pablo Stampa 3580","","LED 150W","Pablo Stampa 3580","San Clemente","Con base en buenas condiciones","","'-30.7621829","'-57.9895105","Aéreo"
"LedCordoba1390","","LED 150W","Cordoba 1390","San Clemente","Con base en buenas condiciones","","'-30.7618190","'-57.9873619","Aéreo"
"Led Pablo Stampa 3535","","LED 150W","Pablo Stampa 3635","San Clemente","Con base en buenas condiciones","","'-30.7619826","'-57.9905190","Aéreo"
"LedCordoba 1355","","LED 150W","Cordoba 1355","San Clemente","Con base en buenas condiciones","","'-30.7622602","'-57.9871259","Aéreo"
"LedCordoba1290","","LED 150W","Cordoba 1290","San Clemente","Con base en buenas condiciones","","'-30.7625236","'-57.9865601","Aéreo"
"Led Pablo Stampa 3698","","LED 150W","Pablo Stampa 3698","San Clemente","Con base en buenas condiciones","","'-30.7620803","'-57.9908130","Aéreo"
"Led Pablo Stampa 3715","","LED 150W","Pablo Stampa 3715","San Clemente","Con base en buenas condiciones","","'-30.7624773","'-57.9912314","Aéreo"
"LedCordoba 1210","","LED 150W","Cordoba 1210","San Clemente","Sin base","","'-30.7629091","'-57.9861733","Aéreo"
"Led Pablo Stampa 3790","","LED 150W","Pablo Stampa 3790","San Clemente","Con base en buenas condiciones","","'-30.7627478","'-57.9915354","Aéreo"
"LedCordoba 1180","","LED 150W","Cordoba 1180","San Clemente","Con base en buenas condiciones","","'-30.7631628","'-57.9858663","Aéreo"
"LedCordoba 1125","","LED 150W","Cordoba 1125","San Clemente","Con base en malas condiciones","","'-30.7635938","'-57.9855465","Aéreo"
"Led Pablo Stampa 3815","","LED 150W","Pablo Stampa 3815","San Clemente","Con base en buenas condiciones","","'-30.7630766","'-57.9919868","Aéreo"
"LedCordoba 1080","","LED 150W","Cordoba 1080","San Clemente","Con base en buenas condiciones","","'-30.7637897","'-57.9851367","Aéreo"
"Led Pablo Stampa 3890","","LED 150W","Pablo Stampa 3890","San Clemente","Con base en buenas condiciones","","'-30.7633630","'-57.9922428","Aéreo"
"LedCordoba 1025","","LED 150W","Cordoba 1025","San Clemente","Con base en buenas condiciones","","'-30.7642535","'-57.9847614","Aéreo"
"Led Pablo Stampa 3945","","LED 150W","Pablo Stampa 3945","San Clemente","Con base en buenas condiciones","","'-30.7636494","'-57.9926906","Aéreo"
"Led Pablo Stampa 3993","","LED 150W","Pablo Stampa 3993","San Clemente","Con base en buenas condiciones","","'-30.7639997","'-57.9929795","Aéreo"
"LedAntartida 1015","","LED 150W","Antártida 1015","San Clemente","Con base en buenas condiciones","","'-30.7648499","'-57.9854636","Aéreo"
"LedAntartida","","LED 150W","Antártida 1090","San Clemente","Sin base","","'-30.7638333","'-57.9851016","Aéreo"
"Led Rivadavia 3980","","LED 150W","Rivadavia 3980","San clemente","Con base en buenas condiciones","","'-30.7646438","'-57.9922285","Aéreo"
"LedAntartida 1125","","LED 150W","Antártida 1125","San Clemente","Con base en buenas condiciones","","'-30.7636451","'-57.9855079","Aéreo"
"Led Rivadavia 3925","","LED 150W","Rivadavia 3925","San Clemente","Con base en buenas condiciones","","'-30.7643242","'-57.9918981","Aéreo"
"Led Rivadavia 3870","","LED 150W","Rivadavia 3870","San Clemente","Con base en buenas condiciones","","'-30.7639899","'-57.9915318","Aéreo"
"LedAntartida 1178","","LED 150W","Antártida 1178","San Clemente","Con base en buenas condiciones","","'-30.7638593","'-57.9866676","Aéreo"
"Led Rivadavia 3825","","LED 150W","Rivadavia 3825","San Clemente","Con base en buenas condiciones","","'-30.7635646","'-57.9913788","Aéreo"
"LedAntartida 1215","","LED 150W","Antártida 1215","San Clemente","Con base en buenas condiciones","","'-30.7636241","'-57.9870447","Aéreo"
"Led Rivadavia 3776","","LED 150W","Rivadavia 3776","San Clemente","Con base en buenas condiciones","","'-30.7632253","'-57.9909883","Aéreo"
"LedAntartida 1290","","LED 150W","Antártida 1290","San Clemente","Con base en buenas condiciones","","'-30.7631218","'-57.9873187","Aéreo"
"Led Rivadavia 3740","","LED 150W","Rivadavia 3740","San Clemente","Con base en buenas condiciones","","'-30.7630999","'-57.9905112","Aéreo"
"Led Rivadavia 3680","","LED 150W","Rivadavia 3680","San Clemente","Con base en buenas condiciones","","'-30.7628135","'-57.9901793","Aéreo"
"LedAntartida 1333","","LED 150W","Antártida 1333","San Clemente","Con base en buenas condiciones","","'-30.7628352","'-57.9876410","Aéreo"
"LedAntartida 1390","","LED 150W","Antártida 1390","San Clemente","Con base en buenas condiciones","","'-30.7624527","'-57.9881058","Aéreo"
"Led Rivadavia 3590","","LED 150W","Rivadavia 3590","San Clemente","Con base en malas condiciones","","'-30.7621817","'-57.9894905","Aéreo"
"LedAntartida 1465","","LED 150W","Antártida 1465","San Clemente","Con base en buenas condiciones","","'-30.7622157","'-57.9885321","Aéreo"
"Led Rivadavia 3525","","LED 150W","Rivadavia 3525","San Clemente","Con base en buenas condiciones","","'-30.7619064","'-57.9891443","Aéreo"
"LedAntartida 1450","","LED 150W","Antártida 1450","San Clemente","Con base en buenas condiciones","","'-30.7617849","'-57.9888333","Aéreo"
"Led Rivadavia 3470","","LED 150W","Rivadavia 3470","San Clemente","Con base en buenas condiciones","","'-30.7616298","'-57.9888568","Aéreo"
"Led Rivadavia 3440","","LED 150W","Rivadavia 3440","San Clemente","Con base en buenas condiciones","","'-30.7613544","'-57.9884505","Aéreo"
"LedAntartida 1535","","LED 150W","Antártida 1535","San Clemente","Con base en buenas condiciones","","'-30.7622038","'-57.9885921","Aéreo"
"LedAntartida 1520","","LED 150W","Antártida 1520","San Clemente","Con base en buenas condiciones","","'-30.7617442","'-57.9888629","Aéreo"
"Led Rivadavia 3390","","LED 150W","Rivadavia 3390","San Clemente","Con base en buenas condiciones","","'-30.7610287","'-57.9881086","Aéreo"
"Led Rivadavia 3323","","LED 150W","Rivadavia 3323","San Clemente","Con base en buenas condiciones","","'-30.7607902","'-57.9878411","Aéreo"
"LedAntartida 1625","","LED 150W","Antártida 1625","San Clemente","Con base en buenas condiciones","","'-30.7615537","'-57.9892942","Aéreo"
"Led 3 de Febrero 3315","","LED 150W","3 de Febrero 3315","San Clemente","Con base en malas condiciones","","'-30.7614638","'-57.9870973","Aéreo"
"Led 3 de Febrero 3373","","LED 150W","3 de Febrero 3373","San Clemente","Con base en buenas condiciones","","'-30.7617269","'-57.9873791","Aéreo"
"LedAntartida 1680","","LED 150W","Antártida 1680","San Clemente","Con base en buenas condiciones","","'-30.7605018","'-57.9903032","Aéreo"
"Led 3 de Febrero 3433","","LED 150W","3 de Febrero 3433","San Clemente","Con base en buenas condiciones","","'-30.7620084","'-57.9876480","Aéreo"
"Led 3 de Febrero 3490","","LED 150W","3 de Febrero 3490","San Clemente","Con base en buenas condiciones","","'-30.7622493","'-57.9880371","Aéreo"
"LedSanLuis1675","","LED 150W","San Luis 1675","San Clemente","Con base en buenas condiciones","","'-30.7611613","'-57.9910996","Aéreo"
"3 de Febrero 3555","","LED 150W","3 de Febrero 3555","San Clemente","Con base en buenas condiciones","","'-30.7626636","'-57.9884992","Aéreo"
"LedSanLuis1640","","LED 150W","San Luis 1640","San Clemente","Con base en buenas condiciones","","'-30.7614570","'-57.9906142","Aéreo"
"Led 3 de Febrero 3585","","LED 150W","3 de Febrero 3585","San Clemente","Con base en buenas condiciones","","'-30.7628701","'-57.9888310","Aéreo"
"LedSanLuis1565","","LED 150W","San Luis 1565","San Clemente","Con base en buenas condiciones","","'-30.7618472","'-57.9903520","Aéreo"
"Led 3 de Febrero 3625","","LED 150W","3 de Febrero 3625","San Clemente","Con base en buenas condiciones","","'-30.7632204","'-57.9891157","Aéreo"
"LedSanLuis 1510","","LED 150W","San Luis 1510","San Clemente","Con base en buenas condiciones","","'-30.7621168","'-57.9898664","Aéreo"
"LedSanLuis 1465","","LED 150W","San Luis 1465","San Clemente","Con base en malas condiciones","","'-30.7624622","'-57.9896264","Aéreo"
"Led 3 de Febrero 3690","","LED 150W","3 de Febrero 3690","San Clemente","Con base en buenas condiciones","","'-30.7633095","'-57.9896386","Aéreo"
"Led 3 de Febrero 3715","","LED 150W","3 de Febrero 3715","San Clemente","Con base en buenas condiciones","","'-30.7635554","'-57.9899139","Aéreo"
"LedSanLuis 1420","","LED 150W","San Luis 1420","San Clemente","Sin base","","'-30.7627826","'-57.9890820","Aéreo"
